Date,Change ($),Date (1),Price (1),High,Date (2),Price (2),Low,Market,Mid,Name,Set Number,Change (%),Period,product_id,Set Name,Edition,tcg_product_id,Rarity,imageUrl,tcgplayerUrl,Release Date,View,Price Bucket
2023-07-24 11:12:20.851867,0.75,2023-07-03 00:00:00.000000,0.65,12.99,2023-10-01 00:00:00.000000,1.4,0.3,0.66,1.22,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-05 11:11:27.620795,0.75,2023-07-03 00:00:00.000000,0.65,12.99,2023-10-01 00:00:00.000000,1.4,0.3,0.63,1.0,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-31 11:10:40.057661,0.75,2023-07-03 00:00:00.000000,0.65,12.99,2023-10-01 00:00:00.000000,1.4,0.29,0.69,1.29,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-13 11:12:16.329479,0.75,2023-07-03 00:00:00.000000,0.65,10.0,2023-10-01 00:00:00.000000,1.4,0.44,0.64,1.0,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-22 11:11:21.141543,0.75,2023-07-03 00:00:00.000000,0.65,12.99,2023-10-01 00:00:00.000000,1.4,0.3,0.68,1.12,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-10 11:11:12.037999,0.75,2023-07-03 00:00:00.000000,0.65,12.99,2023-10-01 00:00:00.000000,1.4,0.3,0.58,1.0,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-08-02 11:10:25.223966,0.75,2023-07-03 00:00:00.000000,0.65,12.99,2023-10-01 00:00:00.000000,1.4,0.3,0.69,1.29,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-14 11:11:56.305981,0.75,2023-07-03 00:00:00.000000,0.65,10.0,2023-10-01 00:00:00.000000,1.4,0.44,0.57,1.0,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-20 11:12:18.956238,0.75,2023-07-03 00:00:00.000000,0.65,10.0,2023-10-01 00:00:00.000000,1.4,0.3,0.69,0.99,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-09 11:12:26.272522,0.75,2023-07-03 00:00:00.000000,0.65,12.99,2023-10-01 00:00:00.000000,1.4,0.3,0.58,1.0,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
2023-07-07 11:11:50.718287,0.75,2023-07-03 00:00:00.000000,0.65,12.99,2023-10-01 00:00:00.000000,1.4,0.3,0.63,0.99,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,New Today,< $1
